name,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.66971725
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.67602936
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,0.32261086
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.46116505
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.52341465
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.50347546
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.56914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.23417824
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.38010963
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.34517681
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.38975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.36017628
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.24524988
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.42272076
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.39460556
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.43088924
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.39185505
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.46783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5711974
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0.34158958
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141243
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0.42178772
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.55375454
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.62284481
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.56490501
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.59236122
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.28127439
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5721925
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.767686
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,0.41389557
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,0.39141056
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.52911392
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7146505
M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.66574585
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.46411716
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.55064072
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.73099556
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.60800701
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,0.6435334
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0.47829754
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,0.54526451
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,0.55354046
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,0.70735641
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,0.6647068
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,0.22445341
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,0.394468
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,0.46296597
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,0.69483788
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,0.37722336
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0.41265511
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,0.37348522
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,0.81866257
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,0.8418029
Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,0.7343499
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,0.72887901
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0.35290756
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,0.65716286
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,0.29703691
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0.42849144
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0.34722
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.6308514
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.55103695
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0.37887188
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,0.45995827
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,0.76673782
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,0.59529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.59863998
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.52825947
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,0.67037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0.34578991
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0.3343755
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0.32230995
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0.27303865
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,0.54861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0.48982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0.43068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,0.45736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,0.49653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0.47173229
