"name","category","winpercent"
"Reese's Peanut Butter cup","chocolate",84.18029
"Reese's Miniatures","chocolate",81.866257
"Twix","chocolate",81.642914
"Kit Kat","chocolate",76.7686
"Snickers","chocolate",76.673782
"Reese's pieces","chocolate",73.43499
"Milky Way","chocolate",73.099556
"Reese's stuffed with pieces","chocolate",72.887901
"Peanut butter M&M's","chocolate",71.46505
"Nestle Butterfinger","chocolate",70.735641
"Peanut M&Ms","chocolate",69.483788
"3 Musketeers","chocolate",67.602936
"Starburst","fruity",67.037628
"100 Grand","chocolate",66.971725
"M&M's","chocolate",66.574585
"Nestle Crunch","chocolate",66.47068
"Rolo","chocolate",65.716286
"Milky Way Simply Caramel","chocolate",64.35334
"Skittles original","fruity",63.08514
"Hershey's Krackel","chocolate",62.284481
"Milky Way Midnight","chocolate",60.800701
"Sour Patch Kids","fruity",59.863998
"Snickers Crisper","chocolate",59.529251
"Hershey's Special Dark","chocolate",59.236122
"Junior Mints","chocolate",57.21925
"Haribo Gold Bears","fruity",57.11974
"Baby Ruth","chocolate",56.914547
"Hershey's Milk Chocolate","chocolate",56.490501
"Hershey's Kisses","chocolate",55.375454
"Nerds","fruity",55.354046
"Skittles wildberry","fruity",55.103695
"Milk Duds","chocolate",55.064072
"Swedish Fish","fruity",54.861111
"Mr Good Bar","chocolate",54.526451
"Lifesavers big ring gummies","fruity",52.911392
"Sour Patch Tricksters","fruity",52.825947
"Air Heads","fruity",52.341465
"Haribo Sour Bears","fruity",51.41243
"Almond Joy","chocolate",50.347546
"Tootsie Roll Snack Bars","chocolate",49.653503
"Whoppers","chocolate",49.524113
"Tootsie Pop","both",48.982651
"Mounds","chocolate",47.829754
"Trolli Sour Bites","fruity",47.173229
"Gobstopper","fruity",46.783348
"Mike & Ike","fruity",46.411716
"Payday","neither",46.296597
"One quarter","neither",46.116505
"Smarties candy","fruity",45.995827
"Tootsie Roll Midgies","chocolate",45.736748
"Twizzlers","fruity",45.466282
"Welch's Fruit Snacks","fruity",44.375519
"Fruit Chews","fruity",43.088924
"Tootsie Roll Juniors","chocolate",43.068897
"Runts","fruity",42.849144
"Dots","fruity",42.272076
"Haribo Twin Snakes","fruity",42.178772
"Werther's Original Caramel","neither",41.904308
"Laffy Taffy","fruity",41.389557
"Pop Rocks","fruity",41.265511
"Dum Dums","fruity",39.460556
"Now & Later","fruity",39.4468
"Fun Dip","fruity",39.185505
"Lemonhead","fruity",39.141056
"Warheads","fruity",39.011898
"Charleston Chew","chocolate",38.975037
"Candy Corn","neither",38.010963
"Nestle Smarties","chocolate",37.887188
"Pixie Sticks","neither",37.722336
"Red vines","fruity",37.348522
"Chewey Lemonhead Fruit Mix","fruity",36.017628
"Ring pop","fruity",35.290756
"Sixlets","chocolate",34.722
"Strawberry bon bons","fruity",34.578991
"Caramel Apple Pops","fruity",34.517681
"Haribo Happy Cola","neither",34.158958
"Sugar Babies","neither",33.43755
"One dime","neither",32.261086
"Sugar Daddy","neither",32.230995
"Root Beer Barrels","neither",29.703691
"Jawbusters","fruity",28.127439
"Super Bubble","fruity",27.303865
"Chiclets","fruity",24.524988
"Boston Baked Beans","neither",23.417824
"Nik L Nip","fruity",22.445341
